elapsed_min_from_t0,elapsed_min_from_burn_start,absolute_time_utc,absolute_time_bjt,theta_s_deg
1254.667000,0.000000,2026-05-16T06:10:14Z,2026-05-16T14:10:14.432+08:00,52.507329891
1255.000000,0.333000,2026-05-16T06:10:34Z,2026-05-16T14:10:34.412+08:00,52.483836210
1256.000000,1.333000,2026-05-16T06:11:34Z,2026-05-16T14:11:34.412+08:00,52.413262930
1257.000000,2.333000,2026-05-16T06:12:34Z,2026-05-16T14:12:34.412+08:00,52.342656213
1258.000000,3.333000,2026-05-16T06:13:34Z,2026-05-16T14:13:34.412+08:00,52.272014896
1258.667000,4.000000,2026-05-16T06:14:14Z,2026-05-16T14:14:14.432+08:00,52.224877484
1259.000000,4.333000,2026-05-16T06:14:34Z,2026-05-16T14:14:34.412+08:00,52.201322166
1260.000000,5.333000,2026-05-16T06:15:34Z,2026-05-16T14:15:34.412+08:00,52.130372869
1261.000000,6.333000,2026-05-16T06:16:34Z,2026-05-16T14:16:34.412+08:00,52.059102503
1262.000000,7.333000,2026-05-16T06:17:34Z,2026-05-16T14:17:34.412+08:00,51.987509295
1263.000000,8.333000,2026-05-16T06:18:34Z,2026-05-16T14:18:34.412+08:00,51.915591458
1264.000000,9.333000,2026-05-16T06:19:34Z,2026-05-16T14:19:34.412+08:00,51.843347350
1265.000000,10.333000,2026-05-16T06:20:34Z,2026-05-16T14:20:34.412+08:00,51.770774840
1266.000000,11.333000,2026-05-16T06:21:34Z,2026-05-16T14:21:34.412+08:00,51.697872103
1267.000000,12.333000,2026-05-16T06:22:34Z,2026-05-16T14:22:34.412+08:00,51.624637611
1268.000000,13.333000,2026-05-16T06:23:34Z,2026-05-16T14:23:34.412+08:00,51.551069352
1269.000000,14.333000,2026-05-16T06:24:34Z,2026-05-16T14:24:34.412+08:00,51.477165456
1270.000000,15.333000,2026-05-16T06:25:34Z,2026-05-16T14:25:34.412+08:00,51.402924039
1271.000000,16.333000,2026-05-16T06:26:34Z,2026-05-16T14:26:34.412+08:00,51.328343205
1272.000000,17.333000,2026-05-16T06:27:34Z,2026-05-16T14:27:34.412+08:00,51.253421040
1273.000000,18.333000,2026-05-16T06:28:34Z,2026-05-16T14:28:34.412+08:00,51.178155619
1274.000000,19.333000,2026-05-16T06:29:34Z,2026-05-16T14:29:34.412+08:00,51.102544999
1275.000000,20.333000,2026-05-16T06:30:34Z,2026-05-16T14:30:34.412+08:00,51.026587382
1276.000000,21.333000,2026-05-16T06:31:34Z,2026-05-16T14:31:34.412+08:00,50.950280482
1277.000000,22.333000,2026-05-16T06:32:34Z,2026-05-16T14:32:34.412+08:00,50.873622314
1278.000000,23.333000,2026-05-16T06:33:34Z,2026-05-16T14:33:34.412+08:00,50.796611189
1279.000000,24.333000,2026-05-16T06:34:34Z,2026-05-16T14:34:34.412+08:00,50.719244935
1280.000000,25.333000,2026-05-16T06:35:34Z,2026-05-16T14:35:34.412+08:00,50.641521518
1281.000000,26.333000,2026-05-16T06:36:34Z,2026-05-16T14:36:34.412+08:00,50.563438892
1282.000000,27.333000,2026-05-16T06:37:34Z,2026-05-16T14:37:34.412+08:00,50.484994993
1283.000000,28.333000,2026-05-16T06:38:34Z,2026-05-16T14:38:34.412+08:00,50.406187742
1284.000000,29.333000,2026-05-16T06:39:34Z,2026-05-16T14:39:34.412+08:00,50.327015044
1285.000000,30.333000,2026-05-16T06:40:34Z,2026-05-16T14:40:34.412+08:00,50.247474787
1286.000000,31.333000,2026-05-16T06:41:34Z,2026-05-16T14:41:34.412+08:00,50.167565000
1287.000000,32.333000,2026-05-16T06:42:34Z,2026-05-16T14:42:34.412+08:00,50.087283226
1288.000000,33.333000,2026-05-16T06:43:34Z,2026-05-16T14:43:34.412+08:00,50.006627461
1289.000000,34.333000,2026-05-16T06:44:34Z,2026-05-16T14:44:34.412+08:00,49.925595370
1290.000000,35.333000,2026-05-16T06:45:34Z,2026-05-16T14:45:34.412+08:00,49.844185073
1291.000000,36.333000,2026-05-16T06:46:34Z,2026-05-16T14:46:34.412+08:00,49.762394203
1292.000000,37.333000,2026-05-16T06:47:34Z,2026-05-16T14:47:34.412+08:00,49.680220531
1293.000000,38.333000,2026-05-16T06:48:34Z,2026-05-16T14:48:34.412+08:00,49.597661811
1294.000000,39.333000,2026-05-16T06:49:34Z,2026-05-16T14:49:34.412+08:00,49.514715780
1295.000000,40.333000,2026-05-16T06:50:34Z,2026-05-16T14:50:34.412+08:00,49.431380157
1296.000000,41.333000,2026-05-16T06:51:34Z,2026-05-16T14:51:34.412+08:00,49.347652645
1297.000000,42.333000,2026-05-16T06:52:34Z,2026-05-16T14:52:34.412+08:00,49.263531084
1298.000000,43.333000,2026-05-16T06:53:34Z,2026-05-16T14:53:34.412+08:00,49.179012825
1299.000000,44.333000,2026-05-16T06:54:34Z,2026-05-16T14:54:34.412+08:00,49.094095673
1300.000000,45.333000,2026-05-16T06:55:34Z,2026-05-16T14:55:34.412+08:00,49.008777100
1301.000000,46.333000,2026-05-16T06:56:34Z,2026-05-16T14:56:34.412+08:00,48.923055029
1302.000000,47.333000,2026-05-16T06:57:34Z,2026-05-16T14:57:34.412+08:00,48.836926897
1303.000000,48.333000,2026-05-16T06:58:34Z,2026-05-16T14:58:34.412+08:00,48.750390276
1304.000000,49.333000,2026-05-16T06:59:34Z,2026-05-16T14:59:34.412+08:00,48.663442719
1305.000000,50.333000,2026-05-16T07:00:34Z,2026-05-16T15:00:34.412+08:00,48.576081762
1306.000000,51.333000,2026-05-16T07:01:34Z,2026-05-16T15:01:34.412+08:00,48.488304919
1307.000000,52.333000,2026-05-16T07:02:34Z,2026-05-16T15:02:34.412+08:00,48.400109686
1308.000000,53.333000,2026-05-16T07:03:34Z,2026-05-16T15:03:34.412+08:00,48.311493540
1309.000000,54.333000,2026-05-16T07:04:34Z,2026-05-16T15:04:34.412+08:00,48.222454093
1310.000000,55.333000,2026-05-16T07:05:34Z,2026-05-16T15:05:34.412+08:00,48.132988467
1311.000000,56.333000,2026-05-16T07:06:34Z,2026-05-16T15:06:34.412+08:00,48.043094079
1312.000000,57.333000,2026-05-16T07:07:34Z,2026-05-16T15:07:34.412+08:00,47.952768637
1313.000000,58.333000,2026-05-16T07:08:34Z,2026-05-16T15:08:34.412+08:00,47.862009359
1314.000000,59.333000,2026-05-16T07:09:34Z,2026-05-16T15:09:34.412+08:00,47.770813600
1315.000000,60.333000,2026-05-16T07:10:34Z,2026-05-16T15:10:34.412+08:00,47.679178692
1316.000000,61.333000,2026-05-16T07:11:34Z,2026-05-16T15:11:34.412+08:00,47.587101947
1317.000000,62.333000,2026-05-16T07:12:34Z,2026-05-16T15:12:34.412+08:00,47.494580656
1318.000000,63.333000,2026-05-16T07:13:34Z,2026-05-16T15:13:34.412+08:00,47.401612088
1319.000000,64.333000,2026-05-16T07:14:34Z,2026-05-16T15:14:34.412+08:00,47.308193491
1320.000000,65.333000,2026-05-16T07:15:34Z,2026-05-16T15:15:34.412+08:00,47.214322246
1321.000000,66.333000,2026-05-16T07:16:34Z,2026-05-16T15:16:34.412+08:00,47.119995244
1322.000000,67.333000,2026-05-16T07:17:34Z,2026-05-16T15:17:34.412+08:00,47.025209665
1323.000000,68.333000,2026-05-16T07:18:34Z,2026-05-16T15:18:34.412+08:00,46.929962982
1324.000000,69.333000,2026-05-16T07:19:34Z,2026-05-16T15:19:34.412+08:00,46.834252174
1325.000000,70.333000,2026-05-16T07:20:34Z,2026-05-16T15:20:34.412+08:00,46.738074355
1326.000000,71.333000,2026-05-16T07:21:34Z,2026-05-16T15:21:34.412+08:00,46.641426614
1326.865000,72.198000,2026-05-16T07:22:26Z,2026-05-16T15:22:26.312+08:00,46.557445171
